dt,Error
0.500000,20.022434
0.454545,17.257865
0.416667,15.016515
0.384615,13.176994
0.357143,11.650419
0.333333,10.370743
0.312500,9.288192
0.294118,8.364762
0.277778,7.571071
0.263158,6.884148
0.250000,6.285839
0.238095,5.761657
0.227273,5.299937
0.217391,4.891204
0.208333,4.527700
0.200000,4.203030
0.192308,3.911883
0.185185,3.649822
0.178571,3.413116
0.172414,3.198611
0.166667,3.003626
0.161290,2.825874
0.156250,2.663388
0.151515,2.514475
0.147059,2.377670
0.142857,2.251699
0.138889,2.135451
0.135135,2.027952
0.131579,1.928350
0.128205,1.835891
0.125000,1.749909
0.121951,1.669816
0.119048,1.595086
0.116279,1.525252
0.113636,1.459896
0.111111,1.398644
0.108696,1.341161
0.106383,1.287144
0.104167,1.236320
0.102041,1.188443
0.100000,1.143290
0.098039,1.100658
0.096154,1.060363
0.094340,1.022239
0.092593,0.986131
0.090909,0.951900
0.089286,0.919419
0.087719,0.888571
0.086207,0.859247
0.084746,0.831350
0.083333,0.804788
0.081967,0.779478
0.080645,0.755342
0.079365,0.732309
0.078125,0.710312
0.076923,0.689291
0.075758,0.669188
0.074627,0.649952
0.073529,0.631532
0.072464,0.613884
0.071429,0.596965
0.070423,0.580735
0.069444,0.565157
0.068493,0.550198
0.067568,0.535824
0.066667,0.522006
0.065789,0.508715
0.064935,0.495925
0.064103,0.483611
0.063291,0.471750
0.062500,0.460320
0.061728,0.449300
0.060976,0.438670
0.060241,0.428413
0.059524,0.418512
0.058824,0.408949
0.058140,0.399711
0.057471,0.390782
0.056818,0.382148
0.056180,0.373798
0.055556,0.365718
0.054945,0.357897
0.054348,0.350324
0.053763,0.342989
0.053191,0.335882
0.052632,0.328993
0.052083,0.322314
0.051546,0.315836
0.051020,0.309552
0.050505,0.303453
0.050000,0.297532
